Location,botottop,x,y,angle,BLOCK
ITP91,2,35.75,105.1,0,
ITP91,2,160.25,105.1,0,
ITP92,2,34.87,103.72,0,
ITP92,2,159.37,103.72,0,
ITP93,2,34,105.1,0,
ITP93,2,158.5,105.1,0,
ITP94,2,33.12,103.72,0,
ITP94,2,157.62,103.72,0,
ITP95,2,32.25,104.97,0,
ITP95,2,156.75,104.97,0,
ITP96,2,31.37,103.72,0,
ITP96,2,155.87,103.72,0,
ITP97,2,30.5,104.97,0,
ITP97,2,155,104.97,0,
ITP98,2,37.12,22.12,180,
ITP98,2,161.62,22.12,180,
ITP99,2,47.25,97.5,0,
ITP99,2,171.75,97.5,0,
ITP100,2,51.25,103.62,0,
ITP100,2,175.75,103.62,0,
ITP101,2,39.87,45.5,180,
ITP101,2,164.37,45.5,180,
ITP102,2,27.25,97.25,0,
ITP102,2,151.75,97.25,0,
ITP103,2,25.25,96.62,0,
ITP103,2,149.75,96.62,0,
ITP104,2,27.25,92.75,0,
ITP104,2,151.75,92.75,0,
ITP105,2,29,102.87,0,
ITP105,2,153.5,102.87,0,
ITP106,2,31.37,62.62,180,
ITP106,2,155.87,62.62,180,
ITP107,2,41.25,46.87,180,
ITP107,2,165.75,46.87,180,
ITP108,2,33.12,41.62,180,
ITP108,2,157.62,41.62,180,
ITP109,2,23.75,95.37,0,
ITP109,2,148.25,95.37,0,
ITP110,2,9.25,122.62,0,
ITP110,2,133.75,122.62,0,
ITP111,2,42,41.12,180,
ITP111,2,166.5,41.12,180,
ITP112,2,46.87,105.37,0,
ITP112,2,171.37,105.37,0,
ITP113,2,47.12,88.37,0,
ITP113,2,171.62,88.37,0,
ITP114,2,58.25,30,180,
ITP114,2,182.75,30,180,
ITP115,2,56,88.25,0,
ITP115,2,180.5,88.25,0,
