Location,topBot,x,y,angle,Block
C85,2,52.1,16,270,
C86,2,113.5,16,270,
C86,2,51,16,270,
C87,2,112.1,16,270,
C87,2,49.6,16,270,
CP1,2,81.65,21.15,0,
CP1,2,19.15,21.15,0,
CP2,2,118.5,133.5,180,
CP2,2,56,133.5,180,
CP3,2,106.1,17.2,0,
CP3,2,43.6,17.2,0,
CP7,2,79.8,122.9,180,
CP7,2,17.3,122.9,180,
CP8,2,101.7,57.15,0,
CP8,2,39.2,57.15,0,
CP9,2,102.8,55.15,0,
CP9,2,40.3,55.15,0,
CP54,2,76.15,90.15,180,
CP54,2,13.65,90.15,180,
CP80,2,78.45,105.15,180,
CP80,2,15.95,105.15,180,
CP200,2,109.25,17.25,0,
CP200,2,46.75,17.25,0,
CP300,2,109.1,126.8,180,
CP300,2,46.6,126.8,180,
CP301,2,117.5,131.8,180,
CP301,2,55,131.8,180,
CP302,2,114.85,122.2,180,
CP302,2,52.35,122.2,180,
CP303,2,115.75,123.15,180,
CP303,2,53.25,123.15,180,
CP305,2,113.25,124.45,180,
CP305,2,50.75,124.45,180,
CP306,2,112.35,123.5,180,
CP306,2,49.85,123.5,180,
CP308,2,112.25,132.6,180,
CP308,2,49.75,132.6,180,
CP310,2,112.35,130.95,180,
CP310,2,49.85,130.95,180,
CP312,2,110.25,133.55,180,
CP312,2,47.75,133.55,180,
CP900,2,73.7,10.5,0,
CP900,2,11.2,10.5,0,
CP999,2,117.05,23.35,0,
CP999,2,54.55,23.35,0,
DA2,2,107.55,58.4,90,
DA2,2,45.05,58.4,90,
ETH1,2,100.5,3.6,270,
ETH1,2,38,3.6,270,
ETH2,2,73.7,10.5,270,
ETH2,2,11.2,10.5,270,
IC1,2,76.9,44.2,0,
IC1,2,14.4,44.2,0,
IC2,2,109.9,26.25,180,
IC2,2,47.4,26.25,180,
IC3,2,93.3,31.95,270,
IC3,2,30.8,31.95,270,
IC5,2,115.15,52.85,270,
IC5,2,52.65,52.85,270,
ITP1,2,100.6,24.2,90,
ITP1,2,38.1,24.2,90,
