Location,top_bot,x,y,Theta
R216,2,260.9,145.6,90
R216,2,260.9,50.1,90
R217,2,114,53.1,90
R217,2,114,148.6,90
R217,2,262.5,148.6,90
R217,2,262.5,53.1,90
R218,2,112.4,53.1,90
R218,2,112.4,148.6,90
R218,2,260.9,148.6,90
R218,2,260.9,53.1,90
R219,2,118.4,61,90
R219,2,118.4,156.5,90
R219,2,266.9,156.5,90
R219,2,266.9,61,90
R220,2,123.4,61,90
R220,2,123.4,156.5,90
R220,2,271.9,156.5,90
R220,2,271.9,61,90
R221,2,125,65.6,90
R221,2,125,161.1,90
R221,2,273.5,161.1,90
R221,2,273.5,65.6,90
R222,2,125,61,90
R222,2,125,156.5,90
R222,2,273.5,156.5,90
R222,2,273.5,61,90
R223,2,123.4,65.6,90
R223,2,123.4,161.1,90
R223,2,271.9,161.1,90
R223,2,271.9,65.6,90
R224,2,121.7,61,90
R224,2,121.7,156.5,90
R224,2,270.2,156.5,90
R224,2,270.2,61,90
R271,2,42.1,88.62,90
R271,2,42.1,184.12,90
R271,2,190.6,184.12,90
R271,2,190.6,88.62,90
R281,2,31.9,88.62,90
R281,2,31.9,184.12,90
R281,2,180.4,184.12,90
R281,2,180.4,88.62,90
R572,2,141.9,64.8,90
R572,2,141.9,160.3,90
R572,2,290.4,160.3,90
R572,2,290.4,64.8,90
R573,2,131.9,62.4,270
R573,2,131.9,157.9,270
R573,2,280.4,157.9,270
R573,2,280.4,62.4,270
R574,2,139.1,63.4,270
R574,2,139.1,158.9,270
R574,2,287.6,158.9,270
R574,2,287.6,63.4,270
R604,2,69.5,54.7,270
R604,2,69.5,150.2,270
R604,2,218,150.2,270
R604,2,218,54.7,270
R607,2,70.8,49.9,90
R607,2,70.8,145.4,90
R607,2,219.3,145.4,90
R607,2,219.3,49.9,90
R608,2,72.9,41.6,270
R608,2,72.9,137.1,270
R608,2,221.4,137.1,270
R608,2,221.4,41.6,270
R610,2,71.7,22.5,90
R610,2,71.7,118,90
R610,2,220.2,118,90
R610,2,220.2,22.5,90
R611,2,69.5,35.5,270
R611,2,69.5,131,270
R611,2,218,131,270
R611,2,218,35.5,270
